"date_value","Homicide","Rape","Robbery/Gun","Robbery/Other","Aggravated Assault/Gun","Aggravated Assault/Other","Burglary/Residential","Burglary/Commercial","Theft of Motor Vehicle Tag","Theft from Person","Theft from Auto","Retail Theft","Theft","Auto Theft","Drug Possession","Drug Sales","DUI","All Other Offenses"
2014-09-14,0,0,0,5,0,4,3,0,0,0,0,3,1,1,9,4,13,39
2014-09-15,1,1,1,1,2,12,1,2,0,0,4,5,2,2,8,4,7,38
2014-09-16,1,1,7,4,0,9,4,2,0,0,3,5,4,1,9,12,9,38
2014-09-17,0,2,3,3,1,12,6,8,0,1,3,11,5,4,21,11,8,55
2014-09-18,0,1,3,0,3,11,5,2,0,0,3,4,3,3,34,79,12,55
2014-09-19,2,0,1,8,7,8,2,2,1,0,2,6,1,1,27,26,10,70
2014-09-20,0,1,4,8,2,9,2,1,0,0,0,10,4,0,31,15,19,39
2014-09-21,0,2,1,2,1,17,2,0,0,0,0,3,0,3,18,7,11,51
2014-09-22,0,0,3,1,1,10,2,2,0,0,2,10,1,0,12,5,9,40
2014-09-23,1,1,2,2,2,8,2,2,0,0,3,9,3,3,20,10,6,44
2014-09-24,0,2,5,6,6,14,1,0,0,0,0,8,11,4,41,35,7,51
2014-09-25,1,2,2,3,3,8,14,0,0,0,1,9,0,0,26,16,9,54
2014-09-26,1,0,0,1,2,10,0,0,0,0,1,5,0,0,24,24,15,53
2014-09-27,2,0,0,3,3,7,2,0,0,0,2,6,2,0,33,14,15,32
2014-09-28,0,0,3,1,0,7,3,0,0,0,1,4,5,1,8,2,14,28
2014-09-29,2,0,2,5,1,10,3,3,0,1,1,7,3,1,15,3,6,39
2014-09-30,1,0,3,4,7,9,6,2,0,0,2,4,2,1,14,6,12,47
2014-10-01,1,1,0,8,3,14,3,1,0,0,0,16,6,0,20,29,10,55
2014-10-02,0,2,6,4,7,14,5,0,0,0,3,5,4,4,29,25,14,72
2014-10-03,2,3,7,4,1,12,5,0,0,1,1,9,0,0,27,17,13,69
2014-10-04,0,1,2,0,1,5,3,0,0,0,1,3,2,2,25,18,12,47
2014-10-05,0,0,2,1,0,8,3,1,0,0,1,4,2,4,8,5,14,39
2014-10-06,1,1,3,1,5,8,2,0,0,0,0,10,1,2,18,9,11,41
2014-10-07,0,1,0,2,2,13,7,2,0,0,4,6,3,1,10,9,5,42
2014-10-08,0,1,4,4,3,5,8,2,0,0,3,9,2,4,21,26,11,54
2014-10-09,0,4,5,4,3,10,1,1,0,0,4,8,1,6,27,32,8,47
2014-10-10,3,2,5,4,6,13,0,1,0,0,1,11,8,2,30,26,13,52
2014-10-11,0,0,2,3,1,7,2,1,0,0,5,7,3,2,16,13,13,45
2014-10-12,1,0,4,4,1,9,3,1,0,0,2,6,2,2,14,4,20,36
2014-10-13,0,2,3,2,3,8,5,2,0,0,2,9,1,0,9,2,5,40
2014-10-14,1,1,3,4,8,12,2,0,0,0,2,7,1,2,17,11,5,55
2014-10-15,1,1,2,8,2,12,4,1,0,0,1,9,2,4,21,23,5,62
2014-10-16,1,3,5,14,0,14,1,0,0,0,0,3,1,1,22,24,7,45
2014-10-17,1,2,0,3,0,16,4,2,0,1,5,7,2,2,26,18,13,66
2014-10-18,0,0,24,1,3,11,6,0,0,1,0,6,2,3,25,22,19,32
2014-10-19,0,1,2,2,0,4,5,1,0,0,0,6,1,1,26,10,15,33
