"date_value","Homicide","Rape","Robbery/Gun","Robbery/Other","Aggravated Assault/Gun","Aggravated Assault/Other","Burglary/Residential","Burglary/Commercial","Theft of Motor Vehicle Tag","Theft from Person","Theft from Auto","Retail Theft","Theft","Auto Theft","Drug Possession","Drug Sales","DUI","All Other Offenses"
2014-07-22,0,34,8,13,21,26,5,5,0,0,4,1,5,1,12,71,4,69
2014-07-23,12,0,25,9,11,13,3,16,0,0,0,3,0,3,6,37,9,39
2014-07-24,0,10,9,0,3,7,7,0,0,0,0,0,1,0,5,32,6,27
2014-07-25,0,0,11,0,8,1,0,0,0,0,0,7,0,2,2,14,4,19
2014-07-28,6,9,8,6,11,15,4,4,0,0,2,4,4,0,5,36,12,17
2014-07-29,0,6,13,0,13,11,12,0,0,0,0,1,0,0,3,78,8,38
2014-07-30,0,0,10,20,4,7,6,0,0,0,6,14,10,5,20,52,5,57
2014-07-31,0,0,5,7,5,28,13,6,0,0,0,18,0,8,10,62,10,64
2014-08-01,0,0,0,0,8,4,5,1,0,0,1,11,1,0,5,52,2,44
2014-08-04,2,0,15,0,13,12,0,0,0,0,2,14,0,1,3,36,6,28
2014-08-05,14,13,10,5,1,13,6,0,0,0,3,10,9,4,8,59,0,49
2014-08-06,0,5,8,15,0,7,11,6,0,0,0,4,3,0,3,84,1,45
2014-08-07,0,4,18,4,0,19,4,0,0,0,0,8,0,3,13,57,19,47
2014-08-08,0,3,0,6,16,0,1,0,0,0,6,6,2,0,11,39,0,25
2014-08-11,0,6,13,7,0,19,3,8,0,0,1,0,0,0,7,18,11,44
2014-08-12,0,9,13,0,0,8,6,0,0,0,0,19,2,4,9,49,11,29
2014-08-13,10,0,16,8,5,10,21,0,0,0,3,13,5,1,9,35,8,36
2014-08-14,31,0,18,6,9,13,0,0,0,0,0,0,5,0,4,38,1,31
2014-08-15,0,2,8,8,0,5,5,0,0,0,1,2,0,0,8,16,3,61
2014-08-18,0,2,0,4,2,18,3,0,0,3,1,3,3,0,12,67,22,29
2014-08-19,3,13,6,10,39,2,15,15,0,0,0,16,0,5,9,79,10,47
2014-08-20,0,0,3,14,15,9,12,0,0,0,1,13,6,8,17,31,11,42
2014-08-21,0,0,0,2,6,14,13,5,0,0,0,21,0,2,6,41,8,54
2014-08-22,0,10,7,9,6,6,4,0,0,0,1,6,0,2,8,39,4,34
2014-08-25,0,0,18,9,29,10,4,0,0,0,0,1,3,0,6,28,20,27
2014-08-26,9,5,9,9,0,8,4,0,0,0,0,8,3,3,15,67,1,38
2014-08-27,0,0,0,14,5,7,9,4,0,0,0,6,12,2,14,56,1,34
2014-08-28,0,0,16,4,0,10,0,0,0,0,0,14,7,2,6,53,4,36
2014-08-29,0,2,13,0,0,25,0,0,0,2,2,1,0,0,12,15,1,31
2014-09-02,0,0,0,9,0,13,4,5,0,0,4,0,4,0,6,25,9,30
2014-09-03,0,0,19,0,2,5,3,8,0,0,0,14,0,0,19,93,14,18
2014-09-04,0,5,2,6,6,10,12,3,0,0,0,9,0,0,3,77,7,33
2014-09-05,0,0,0,1,11,29,12,10,0,0,0,13,1,0,9,25,1,61
2014-09-08,4,0,20,10,9,13,0,10,0,0,1,8,2,0,4,14,12,28
2014-09-09,0,18,0,1,30,23,24,0,0,0,2,5,0,9,10,49,9,59
2014-09-10,0,0,0,10,16,16,19,0,0,0,1,12,2,3,4,52,14,53
2014-09-11,0,0,11,13,5,11,0,0,0,0,0,6,1,1,9,47,16,50
2014-09-12,0,11,3,10,19,22,8,0,0,0,4,8,1,0,21,39,4,26
2014-09-15,6,0,0,12,0,32,5,7,0,0,2,11,5,0,21,84,10,38
2014-09-16,3,7,4,0,22,12,7,0,0,0,1,1,0,12,17,71,18,45
2014-09-17,0,3,14,3,6,22,1,23,0,0,0,5,10,5,11,41,0,37
2014-09-18,6,11,0,5,0,12,6,2,0,0,0,3,0,0,5,45,1,40
2014-09-19,2,20,10,7,3,25,20,0,0,0,0,1,0,6,12,25,5,61
2014-09-22,0,8,2,3,5,33,0,0,0,0,4,17,3,2,6,38,27,34
2014-09-23,0,0,6,0,0,11,9,9,0,0,0,5,0,15,14,89,7,67
2014-09-24,0,8,15,12,33,4,9,0,0,0,1,17,5,8,8,42,6,72
2014-09-25,20,0,30,7,16,11,5,0,0,0,3,10,0,6,9,82,13,59
2014-09-26,0,0,3,1,0,24,10,15,0,0,2,3,3,5,5,56,4,38
2014-09-29,0,16,11,7,8,5,0,1,0,3,0,4,2,0,4,35,16,32
2014-09-30,0,19,6,7,4,50,20,0,0,0,5,7,12,6,26,74,21,75
2014-10-01,17,9,19,11,2,20,37,6,0,0,2,3,5,6,10,77,10,64
2014-10-02,0,0,8,4,2,15,0,0,0,0,0,19,4,0,7,68,25,36
2014-10-03,2,26,5,0,3,1,0,0,0,0,3,7,5,1,6,45,8,48
2014-10-06,5,0,23,4,8,25,0,4,0,0,1,4,0,2,9,49,12,50
2014-10-07,0,2,0,12,0,14,16,0,0,0,0,30,0,13,4,50,2,38
2014-10-08,19,0,13,4,8,11,15,0,0,0,4,19,13,8,5,75,4,31
2014-10-09,0,10,28,4,0,0,0,0,0,0,0,7,4,3,6,25,5,21
2014-10-10,18,14,6,5,0,25,9,0,0,6,1,5,1,0,4,32,8,38
2014-10-14,0,5,3,17,5,11,6,8,0,0,0,1,1,0,13,66,4,43
2014-10-15,0,0,12,3,7,6,5,0,0,0,1,7,2,3,17,114,2,42
2014-10-16,21,4,12,19,10,8,3,0,0,0,0,6,1,3,4,54,2,54
2014-10-17,10,5,0,3,13,16,0,0,0,0,3,9,0,2,6,32,0,19
2014-10-20,6,7,6,17,10,13,6,0,0,0,7,5,0,3,11,58,25,19
2014-10-21,0,10,0,1,0,5,6,0,0,0,0,13,4,0,6,94,8,63
2014-10-22,0,0,10,3,0,4,16,5,0,0,2,8,0,4,12,65,2,58
2014-10-23,8,18,10,11,13,8,16,0,0,0,4,28,0,5,7,65,3,51
2014-10-24,0,36,32,5,5,5,0,3,0,0,0,8,4,8,13,68,5,52
2014-10-27,0,16,4,7,0,17,0,0,0,0,2,4,2,5,7,42,13,21
2014-10-28,0,9,5,0,0,18,3,6,0,0,13,15,12,9,13,91,4,98
2014-10-29,0,0,29,6,10,11,2,0,0,0,0,12,4,8,10,64,6,40
2014-10-30,0,0,0,10,10,12,5,4,0,0,0,9,0,2,7,28,5,63
2014-10-31,0,14,0,4,3,20,0,2,0,0,0,9,2,1,7,50,12,53
2014-11-03,24,0,5,7,5,12,11,0,0,0,0,8,5,4,2,66,32,39
2014-11-04,0,19,0,8,6,20,19,3,0,0,14,6,9,5,11,60,5,59
2014-11-05,0,0,0,7,8,10,15,3,0,0,1,17,2,4,7,45,5,31
2014-11-06,0,15,19,21,0,7,2,1,0,3,0,11,10,2,6,53,10,31
2014-11-07,0,0,34,23,10,5,0,0,0,0,0,6,7,2,6,45,1,48
2014-11-10,9,0,10,10,0,26,28,0,0,0,3,5,1,0,7,24,13,30
2014-11-12,0,0,20,6,5,39,17,0,0,0,1,3,15,4,9,63,13,56
2014-11-13,0,0,0,2,18,8,4,17,0,0,0,10,0,1,16,65,3,44
2014-11-14,3,0,35,10,5,14,5,0,0,0,2,12,2,0,9,70,6,34
2014-11-17,0,0,4,1,3,14,3,2,0,0,2,2,7,5,8,35,13,28
2014-11-18,0,0,5,38,15,24,19,0,0,0,2,30,6,10,7,69,20,76
2014-11-19,7,0,0,4,5,5,10,0,0,0,0,4,4,2,9,68,8,35
2014-11-20,0,5,0,0,8,9,5,0,0,0,0,9,0,5,8,57,10,40
2014-11-21,8,12,41,1,9,0,6,0,0,0,4,10,7,0,8,53,9,112
2014-11-24,12,0,20,5,33,22,0,0,0,0,0,11,5,0,12,52,9,31
2014-11-25,0,2,5,9,8,27,5,3,0,0,2,12,15,19,10,70,7,29
2014-11-26,0,0,0,4,5,11,0,0,0,0,0,4,0,0,3,50,5,18
2014-11-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
2014-12-01,20,6,0,17,0,12,0,4,0,0,3,2,3,12,4,61,15,40
2014-12-02,0,20,14,14,22,25,10,1,0,0,5,1,0,10,7,38,5,91
2014-12-03,0,0,5,7,7,20,4,6,0,0,0,22,5,3,9,51,4,48
2014-12-04,0,0,0,8,24,17,1,0,0,2,1,5,11,0,9,78,9,29
2014-12-05,11,0,11,5,0,7,12,5,0,0,0,8,3,0,15,37,1,36
2014-12-08,45,11,6,5,8,12,15,0,0,0,0,28,0,7,6,58,7,69
2014-12-09,0,21,0,4,6,8,13,3,0,0,9,6,0,2,5,56,15,34
2014-12-10,2,4,8,4,18,2,10,11,0,0,0,12,0,3,14,94,5,60
2014-12-11,8,16,28,32,8,25,15,17,0,0,1,6,5,6,6,68,1,69
2014-12-12,3,13,20,6,0,17,1,3,0,0,3,4,3,3,20,38,14,47
2014-12-15,10,23,10,0,13,10,13,4,0,0,4,6,0,2,14,20,14,32
2014-12-16,0,18,11,0,0,40,13,5,0,0,8,0,3,5,10,93,19,48
2014-12-17,0,11,23,10,0,5,21,7,0,0,1,18,0,3,9,97,18,73
2014-12-18,0,0,30,22,10,20,25,0,0,0,0,7,0,0,3,88,25,45
2014-12-19,8,0,12,19,5,22,9,0,0,0,3,13,0,9,12,56,3,55
2014-12-22,0,0,19,7,0,16,5,0,0,0,3,4,11,7,7,18,18,35
